state,year,ammunition_regulations,assault_weapons_regulations,background_checks,buyer_regulations,child_access_prevention,concealed_carry_permitting,dealer_regulations,domestic_violence,gun_trafficking,immunity,no_stand_your_ground,possession_regulations,preemption,prohibitions_against_high_risk_gun_owners,lawtotal
Alabama,1991,0,0,0,1,0,3,7,0,0,1,1,0,1,1,15
Alaska,1991,0,0,0,0,0,6,0,0,0,1,1,1,0,1,10
Arizona,1991,0,0,0,0,0,6,0,0,0,1,1,1,0,3,12
Arkansas,1991,0,0,0,0,0,6,0,0,0,1,1,1,3,3,15
California,1991,0,4,11,5,4,5,12,2,0,0,1,5,2,7,58
Colorado,1991,0,0,0,0,0,2,1,0,0,1,1,1,3,0,9
Connecticut,1991,0,0,0,1,4,4,10,0,0,1,1,3,3,0,27
Delaware,1991,0,0,0,1,0,3,3,0,0,0,1,0,0,4,12
Florida,1991,0,0,0,0,3,4,1,0,2,1,1,5,0,1,18
Georgia,1991,0,0,0,1,0,2,2,0,0,1,1,1,3,1,12
Hawaii,1991,1,0,0,9,0,2,6,5,0,1,1,3,3,7,38
Idaho,1991,0,0,0,0,0,2,0,0,0,0,1,0,2,0,5
Illinois,1991,3,0,6,5,0,6,5,0,0,1,1,7,3,4,41
Indiana,1991,0,0,0,0,0,3,1,0,0,1,1,1,3,0,10
Iowa,1991,2,0,3,4,2,3,0,0,0,1,1,1,0,1,18
Kansas,1991,0,0,0,0,0,6,0,0,0,1,1,1,3,1,13
Kentucky,1991,0,0,0,0,0,6,0,0,0,0,1,0,0,1,8
Louisiana,1991,0,0,0,1,0,6,0,0,0,1,1,1,0,0,10
Maine,1991,0,0,0,0,0,2,2,0,0,1,1,1,0,2,9
Maryland,1991,0,0,0,1,0,5,4,0,0,1,1,2,0,3,17
Massachusetts,1991,5,0,6,7,0,4,12,0,5,1,1,6,3,5,55
Michigan,1991,0,0,3,6,0,6,6,0,0,1,1,1,0,0,24
Minnesota,1991,0,0,0,1,0,6,1,0,0,1,1,1,0,4,15
Mississippi,1991,0,0,0,0,0,3,0,0,0,1,1,2,0,1,8
Missouri,1991,0,0,3,3,0,6,0,0,0,1,1,1,0,1,16
Montana,1991,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3
Nebraska,1991,0,0,2,3,0,6,0,0,1,1,1,0,3,1,18
Nevada,1991,0,0,0,0,2,3,0,0,0,0,1,1,0,1,8
New Hampshire,1991,0,0,0,0,0,1,1,0,0,1,1,0,3,0,7
New Jersey,1991,0,5,5,7,0,6,8,0,0,1,1,6,3,4,46
New Mexico,1991,0,0,0,0,0,6,0,0,0,1,1,1,0,1,10
New York,1991,1,0,0,5,0,6,4,2,0,1,1,5,3,7,35
North Carolina,1991,0,0,0,2,0,6,3,0,0,1,1,3,3,0,19
North Dakota,1991,0,0,0,0,0,3,0,0,2,1,1,2,0,4,13
Ohio,1991,0,0,0,3,0,6,0,0,2,1,1,0,3,2,18
Oklahoma,1991,0,0,0,1,0,6,0,0,0,1,1,0,0,1,10
