year,state,num_mass_shootings
1991,Alabama,0
1991,Alaska,0
1991,Arizona,1
1991,Arkansas,0
1991,California,0
1991,Colorado,0
1991,Connecticut,0
1991,Delaware,0
1991,Florida,0
1991,Georgia,0
1991,Hawaii,0
1991,Idaho,0
1991,Illinois,0
1991,Indiana,0
1991,Iowa,1
1991,Kansas,0
1991,Kentucky,0
1991,Louisiana,0
1991,Maine,0
1991,Maryland,0
1991,Massachusetts,0
1991,Michigan,1
1991,Minnesota,0
1991,Mississippi,0
1991,Missouri,0
1991,Montana,0
1991,Nebraska,0
1991,Nevada,0
1991,New Hampshire,0
1991,New Jersey,1
1991,New Mexico,0
1991,New York,0
1991,North Carolina,0
1991,North Dakota,0
1991,Ohio,0
1991,Oklahoma,0
1991,Oregon,0
1991,Pennsylvania,0
1991,Rhode Island,0
1991,South Carolina,0
1991,South Dakota,0
1991,Tennessee,0
1991,Texas,1
1991,Utah,0
1991,Vermont,0
1991,Virginia,0
1991,Washington,0
1991,West Virginia,0
1991,Wisconsin,0
1991,Wyoming,0
1992,Alabama,0
1992,Alaska,0
1992,Arizona,0
1992,Arkansas,0
1992,California,1
1992,Colorado,0
1992,Connecticut,0
1992,Delaware,0
1992,Florida,0
1992,Georgia,0
1992,Hawaii,0
1992,Idaho,0
1992,Illinois,0
1992,Indiana,0
1992,Iowa,0
1992,Kansas,0
1992,Kentucky,0
1992,Louisiana,0
1992,Maine,0
1992,Maryland,0
1992,Massachusetts,1
1992,Michigan,0
1992,Minnesota,0
1992,Mississippi,0
1992,Missouri,0
1992,Montana,0
1992,Nebraska,0
1992,Nevada,0
1992,New Hampshire,0
1992,New Jersey,0
1992,New Mexico,0
1992,New York,1
1992,North Carolina,0
1992,North Dakota,0
1992,Ohio,0
1992,Oklahoma,0
1992,Oregon,0
1992,Pennsylvania,0
1992,Rhode Island,0
1992,South Carolina,0
1992,South Dakota,0
1992,Tennessee,0
1992,Texas,1
1992,Utah,0
1992,Vermont,0
1992,Virginia,0
1992,Washington,0
1992,West Virginia,0
1992,Wisconsin,0
1992,Wyoming,0
1993,Alabama,0
1993,Alaska,0
1993,Arizona,0
1993,Arkansas,0
1993,California,2
1993,Colorado,1
1993,Connecticut,0
1993,Delaware,0
1993,Florida,0
1993,Georgia,0
1993,Hawaii,0
1993,Idaho,0
1993,Illinois,0
1993,Indiana,0
1993,Iowa,0
1993,Kansas,0
1993,Kentucky,0
1993,Louisiana,0
1993,Maine,0
1993,Maryland,0
1993,Massachusetts,0
1993,Michigan,2
1993,Minnesota,0
1993,Mississippi,0
1993,Missouri,0
1993,Montana,0
1993,Nebraska,0
1993,Nevada,0
1993,New Hampshire,0
1993,New Jersey,0
1993,New Mexico,0
1993,New York,1
1993,North Carolina,1
1993,North Dakota,0
1993,Ohio,0
1993,Oklahoma,0
1993,Oregon,0
1993,Pennsylvania,0
1993,Rhode Island,0
1993,South Carolina,0
1993,South Dakota,0
1993,Tennessee,0
1993,Texas,0
1993,Utah,1
1993,Vermont,0
1993,Virginia,0
1993,Washington,0
1993,West Virginia,0
1993,Wisconsin,0
1993,Wyoming,1
1994,Alabama,0
1994,Alaska,0
1994,Arizona,0
1994,Arkansas,0
1994,California,0
1994,Colorado,0
1994,Connecticut,0
1994,Delaware,0
1994,Florida,0
1994,Georgia,0
1994,Hawaii,0
1994,Idaho,0
1994,Illinois,0
1994,Indiana,0
1994,Iowa,0
1994,Kansas,0
1994,Kentucky,1
1994,Louisiana,0
1994,Maine,0
1994,Maryland,0
1994,Massachusetts,1
1994,Michigan,0
1994,Minnesota,0
1994,Mississippi,0
1994,Missouri,0
1994,Montana,0
1994,Nebraska,0
1994,Nevada,0
1994,New Hampshire,0
1994,New Jersey,0
1994,New Mexico,0
1994,New York,0
1994,North Carolina,0
1994,North Dakota,0
1994,Ohio,1
1994,Oklahoma,0
